圈层ID,总词数,总句子数,平均句长,型例比(TTR),分析性(Analytic),影响力(Clout),真实性(Authentic),积极语气(Tone_pos),消极语气(Tone_neg),净语气(Tone_net),高频词(Top20)
15164,317,36,14.47,0.2303,0.0,0.0,0.0,0.0,0.0,0.0,科技(0); 新增(1); 软件(2); 阿里(3); 蚂蚁(4); 链花开(5); 五朵(6); 朗(7); 集团(8)
15000,341,39,16.77,0.4194,0.052786,0.020528,0.002933,0.005865,0.02346,-0.017595,市场(0); 经济(1); 失业率(2); 形势(3); 不容乐观(4); 增长(5); 令人担忧(6); 需(7); 持续(8); 政策(9); 压力(10); 高(11); 上升(12); 严峻(13); 美国(14); 堪忧(15)
14452,789,125,10.22,0.3929,0.050697,0.008872,0.030418,0.001267,0.0,0.001267,贷款(0); 9(1); 月(2); 1(3); 日新规(4); 上线(5)
14445,110,35,5.57,0.1091,0.045455,0.0,0.045455,0.0,0.0,0.0,感觉(0); 涉及(1); 方面(2); 好多(3); 送(4); 花花(5)
15030,100,11,14.55,0.37,0.0,0.0,0.0,0.0,0.0,0.0,羞嗒(0); 嗒(1); 打(2); call(3); 可怜(4); 星星(5); 申论(6); 热点(7); 2026(8); 江苏省(9); 考(10)
14120,4265,186,38.08,0.079,0.10762,0.024853,0.024853,0.0,0.000234,-0.000234,增强型(0); 增长(1); 我们(2)
15181,608,67,15.94,0.4128,0.080592,0.014803,0.026316,0.001645,0.0,0.001645,经验(0); 程序员(1); 更(2); 编程(3); 35(4); 更新(5); 保持(6); 哇(7)
14662,740,139,9.04,0.2419,0.040541,0.005405,0.006757,0.014865,0.0,0.014865,喵(0); 它们(1); 魔法(2); 哈哈(3); 日本(4); 帽哥(5)
15159,104,52,4.0,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,
14219,123,21,10.9,0.4309,0.01626,0.0,0.0,0.0,0.0,0.0,印度(0); 豁免(1); 项目(2); 允悲(3); 笑(4); 不语(5); 偷笑(6); lyman2003(7); 算上(8); 实际(9)
14208,291,115,4.72,0.1306,0.003436,0.0,0.0,0.0,0.0,0.0,9(0); 月(1); 大事(2); 资本(3); 市场(4); 提醒(5); 投资(6); 日历(7); 九月(8); Repost(9); 九月份(10); 轉發(11); 月份(12); 记(13)
14393,592,190,5.56,0.0405,0.033784,0.0,0.0,0.0,0.0,0.0,9(0); 月(1); 起(2); 这些(3); 新规(4); 开始(5); 施行(6); 合成(7); 内容(8); 需亮(9); 明(10); 身份(11); 打(12)
121,9559,397,36.85,0.0645,0.099801,0.009415,0.025421,0.016843,0.000523,0.01632,猩猩(0); 中国(1); 不行(2); 教育(3); 非常(4); 同意(5); 这篇(6); 吸(7); 文章(8)
13935,97,49,3.96,0.0309,0.0,0.0,0.0,0.0,0.0,0.0,收藏(0)
14204,520,119,7.55,0.3135,0.051923,0.011538,0.007692,0.026923,0.005769,0.021154,深圳(0); 加油(1); good(2); 赞(3); 话筒(4)
14392,940,168,9.0,0.2532,0.070213,0.008511,0.001064,0.031915,0.002128,0.029787,快乐(0); 小(1); 幸福(2); 挑战(3); 心灵(4); 勇气(5); 时刻(6); 梦想(7); 微笑(8); 智慧(9); 净土(10); 家庭(11); 希望(12)
14603,659,62,19.6,0.3854,0.080425,0.040971,0.009105,0.001517,0.0,0.001517,友谊(0); 中巴(1); 坚固(2); 比钢(3); 合作(4); 钢铁(5); 深厚(6); 坚不可摧(7); 值得(8); 稳定(9)
15151,855,75,18.56,0.2351,0.037427,0.011696,0.008187,0.0,0.00117,-0.00117,追责(0); 滥用权力(1); 不用(2); 等于(3); 鼓励(4); 媒体(5); 猪哥(6); 握手(7); 法治(8)
14595,20,9,4.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,清新(0); 气息(1); www(2)
14380,270,122,4.33,0.0593,0.0,0.0,0.0,0.003704,0.0,0.003704,good(0); 赞(1); 打(2); call(3); 合成(4); 内容(5); 需亮(6); 明(7); 身份(8)
14252,306,69,7.55,0.2614,0.01634,0.013072,0.009804,0.0,0.0,0.0,摩诃(0); 般若(1); 龙(2); doge(3); 印尼(4); 分配不公(5); 羡慕(6)
14325,1643,110,23.45,0.157,0.077298,0.000609,0.02678,0.001826,0.0,0.001826,打拳(0); 打(1); 女(2); 教师(3); 丢(4); 小(5)
14606,210,101,4.14,0.0571,0.004762,0.0,0.0,0.0,0.0,0.0,电动车(0); 新规超(1); 贴心(2); 不用(3); 装(4); 脚踏(5); 更(6); 方便(7)
14552,214,107,4.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,
51062,25232,6200,6.54,0.0845,0.024453,0.001982,0.013911,0.006619,0.000159,0.00646,码(0); bot(1); 纸片(2); 代餐(3); 墙(4); 文化(5)
14984,966,78,19.24,0.4234,0.066253,0.004141,0.026915,0.006211,0.001035,0.005176,陈震(0); 小米(1); 打(2)
14193,958,180,8.57,0.262,0.058455,0.009395,0.001044,0.02714,0.0,0.02714,希望(0); 小(1); 黄人(2); 幸福(3); 勇气(4); 自由(5); 生活(6); 成功(7); 友情(8); 谦虚(9); 心灵(10); 温暖(11); 微笑(12)
15166,48,13,5.92,0.2292,0.0,0.0,0.0,0.0,0.0,0.0,超话(0); 打(1); 工人(2)
14672,475,93,8.85,0.4189,0.073684,0.0,0.018947,0.010526,0.0,0.010526,专业(0); 学校(1); 4(2); 回复(3); 路(4)
40883,531,44,19.25,0.4746,0.077213,0.007533,0.041431,0.020716,0.0,0.020716,能(0); 抱抱(1); 一样(2)
14398,315,71,7.39,0.2127,0.031746,0.0,0.012698,0.009524,0.0,0.009524,good(0); 鼓掌(1); 搜(2); 分析(3); 嘻嘻(4); 智(5); 刷(6); 博好(7); 搭子(8); 我用(9); 微博智(10)
14305,1093,79,23.91,0.3806,0.081427,0.016468,0.012809,0.002745,0.000915,0.00183,陶冬(0); _(1); 誉世(2); 翱翔(3); 年(4); 债务(5); 12(6); 美国(7)
14356,258,49,9.08,0.2984,0.05814,0.003876,0.011628,0.007752,0.0,0.007752,夜校(0); 背后(1); 大学生(2); 培训(3); 逆袭(4); 反向(5); 镀金(6); 白天(7); 晚上(8)
14435,55,10,8.1,0.2545,0.0,0.0,0.0,0.036364,0.0,0.036364,赞赞(0); 打(1); call(2); 心(3); 赞(4); 泪(5); 抱抱(6); 关注(7); 赞赞赞(8)
14648,4166,1054,7.01,0.1354,0.040566,0.012962,0.023044,0.005041,0.00312,0.00192,工具(0); 领导(1); coze(2); 下班(3); 扣子(4)
15199,32,14,4.21,0.25,0.0,0.0,0.0,0.0,0.0,0.0,啦(0); good(1); 许向宁(2)
14629,144,58,4.76,0.0903,0.0,0.0,0.0,0.0,0.0,0.0,素材(0); 作文(1); 高考作文(2); 热点(3); 超话(4)
14501,411,116,6.33,0.3236,0.038929,0.014599,0.009732,0.0,0.0,0.0,9(0); 月(1); 生成(2); 标识(3); 劳动者(4); 1(5); 日新规(6)
14622,54,20,4.8,0.1481,0.0,0.0,0.0,0.0,0.0,0.0,安樊(0); 沈(1); 5(2)
14516,434,85,8.82,0.1774,0.006912,0.002304,0.0,0.011521,0.0,0.011521,good(0); 9(1); 月(2); 电动(3); 自行车(4); 起(5); 实施(6); 国标(7); 贴息(8); 个人消费(9); 贷款(10); 财政(11); 可享(12)
14036,2151,79,45.04,0.2515,0.066946,0.017201,0.016272,0.002325,0.0,0.002325,福宝(0); 神树(1); 坪(2); 熊猫(3)
14886,221,61,7.15,0.3439,0.031674,0.00905,0.0,0.004525,0.0,0.004525,小米(0); 应届生(1); 集团(2); 实力(3); 规模(4); 大幅(5); 增加(6); 扩张(7); 实力雄厚(8); 7000(9); 名(10); 2025(11); 届(12); 增长(13); 加速(14)
15049,1709,162,15.64,0.1457,0.016969,0.001755,0.004681,0.008192,0.0,0.008192,打(0); call(1); 教(2); 您(3); 轻松(4); 美食(5)
14753,513,29,31.79,0.3489,0.046784,0.023392,0.003899,0.001949,0.0,0.001949,暑期(0); 西安(1); 大学(2); 工业(3); 各(4); 学院(5); 学校(6); 积极(7); 期待(8); 新学年(9); 落实(10)
41871,62,21,5.38,0.371,0.032258,0.0,0.016129,0.0,0.0,0.0,嘻嘻(0); 一下(1); 好多(2); 新规(3); 一切(4); 如常(5); 啥(6); 特别(7); 周知(8); 最低工资(9); 标准(10); 早该(11)
14163,133,41,5.29,0.203,0.022556,0.0,0.0,0.015038,0.0,0.015038,good(0); 允悲(1); 这些(2); 新规(3); 9(4); 月(5); 起(6); 开始(7); 施行(8); 赞(9); 心(10); 傻眼(11); 给力(12)
14617,22,11,4.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,
21060,120,36,6.53,0.3083,0.033333,0.016667,0.0,0.0,0.0,0.0,小米(0); 集团(1); 7000(2); 名(3); 应届生(4); 高效(5); 招(6); 效率高(7); 实力(8); 强(9); 注重(10); 年轻人(11); 方式(12)
14721,627,214,4.98,0.2504,0.017544,0.004785,0.033493,0.027113,0.011164,0.015949,码(0); 我学(1); 心态(2); 泪(3); 轉發(4)
13464,13312,557,43.14,0.0394,0.085036,0.011493,0.026818,0.000526,7.5e-05,0.000451,大厂(0); 一边(1); 级别(2); 职位(3); 62(4)
53409,54,25,4.08,0.0926,0.0,0.0,0.0,0.0,0.0,0.0,心(0)
14903,16701,1159,24.5,0.0422,0.062451,0.002934,0.025867,0.002754,6e-05,0.002694,工程师(0); 模型(1); 疑问(2)
14414,704,43,26.6,0.3395,0.068182,0.005682,0.015625,0.002841,0.0,0.002841,价值(0); 内容(1); 这样(2); 合成(3); 身份(4)
14377,576,38,24.76,0.4896,0.069444,0.005208,0.008681,0.0,0.001736,-0.001736,美国(0); 中国(1); 留学生(2); 特朗普(3); 孩子(4)
41508,78,10,13.1,0.6795,0.153846,0.025641,0.012821,0.0,0.0,0.0,日本(0); 房租(1); 成本(2); 看过(3); 很多(4); 关于(5); 老来(6); 贫困(7); 介绍(8); 这些(9); 案例(10); 致贫(11); 因素(12)
29602,140,12,20.33,0.6786,0.092857,0.0,0.014286,0.0,0.0,0.0,南开大学(0); 招生(1); 老师(2); 虚假(3); 无敌(4); 小(5); 宇宙(6); 肿(7); 这么(8); 萌(9); 特别(10)
14811,294,30,18.67,0.3741,0.034014,0.006803,0.006803,0.0,0.0,0.0,嘻嘻(0); Salesforce(1); 云(2); 销售(3); Cloud(4); 流程(5); 服务(6); 应用(7)
55290,6357,934,12.02,0.1293,0.037596,0.008652,0.011483,0.007865,0.000157,0.007708,能源(0); 中国(1); 专业(2); 石油大学(3); 闭眼(4); 学(5); 石大(6); 选中(7); 打(8); call(9)
14361,3050,336,14.25,0.0682,0.04459,0.001639,0.012131,0.002951,0.0,0.002951,新规(0); 9(1); 月(2); 起(3); 这些(4); 开始(5); 施行(6); 周知(7); 内容(8); 身份(9); 合成(10)
14450,153,56,4.5,0.1961,0.0,0.006536,0.0,0.019608,0.0,0.019608,good(0); 鼓掌(1); 赞(2); 鲜花(3); 泪(4); 9(5); 月(6); 1(7); 日新规(8); 上线(9); 送(10); 花花(11); 打(12); call(13)
14925,64,28,4.79,0.2188,0.0,0.0,0.0,0.0,0.0,0.0,微风(0); MachineLearning(1); ZJU(2); 心(3); Repost(4)
14727,274,52,9.21,0.4015,0.036496,0.007299,0.018248,0.00365,0.0,0.00365,日本(0); 嘻嘻(1); 星(2); 像是(3); 辰(4); 公式(5); 就是(6); 快(7); good(8)
14444,129,42,5.26,0.2481,0.007752,0.007752,0.015504,0.007752,0.0,0.007752,打(0); call(1); 关注(2); 9(3); 月(4); 1(5); 日新规(6); 上线(7); 舔(8); 屏(9); 不错(10); 一下(11)
15073,77,33,4.36,0.1558,0.025974,0.0,0.0,0.0,0.0,0.0,大学生(0); 混(1); 这里(2); 入(3)
14719,476,203,4.57,0.1429,0.006303,0.0,0.006303,0.002101,0.0,0.002101,赚钱(0); doge(1); 普通人(2); 这么(3); 多(4); 淡淡的(5); mark(6); 一下(7)
14923,51,20,4.8,0.2745,0.0,0.019608,0.0,0.0,0.0,0.0,求是(0); 形态(1); 须(2); 强化(3); 法治(4); 保障(5)
14986,3043,145,32.63,0.2557,0.052251,0.008544,0.02859,0.003286,0.000986,0.0023,回复(0); 牛犇(1); 马云(2); 增值税(3); 嘻嘻(4); 小米(5)
41769,1446,74,31.05,0.0795,0.03112,0.033195,0.026971,0.005533,0.0,0.005533,大唐(0); 文化(1); 企业(2); 要么(3); 现在(4); 高端(5); 产业(6)
15185,480,39,22.51,0.3583,0.08125,0.008333,0.00625,0.002083,0.0,0.002083,经验(0); 赛道(1); 保持(2); 迭代(3); 变现(4); 并重(5); 能力(6); 程序员(7); 速度(8); 坚守(9); 竞争力(10); 积累(11)
14591,1525,122,20.82,0.2111,0.065574,0.005246,0.019016,0.000656,0.000656,0.0,翻译(0); 雷颐(1); 行业(2); 允悲(3)
14817,838,50,26.58,0.2959,0.109785,0.0179,0.040573,0.00358,0.002387,0.001193,大厂(0); 允悲(1); 嘛(2); 下(3); 其他(4); 不招(5); 嫌弃(6); 考虑(7)
14667,283,85,4.78,0.159,0.0,0.0,0.0,0.024735,0.003534,0.021201,心(0); 关注(1); 微风(2); doge(3); 鲜花(4); 打(5); call(6); 赞(7); 嗯(8); 卡皮(9); 巴拉(10); 淄博(11); 9(12); 月份(13); 赢(14)
14684,137,25,9.56,0.438,0.072993,0.0,0.0,0.0,0.0,0.0,6G(0); 中国(1); 布局(2); 通信(3); 打(4); call(5); 领跑(6); 全球(7)
14909,403,119,6.27,0.2928,0.024814,0.014888,0.009926,0.0,0.002481,-0.002481,智能(0); 经济(1); 二哈(2); 成为(3); 重要(4)
14581,56,18,4.89,0.1429,0.0,0.0,0.0,0.035714,0.0,0.035714,心(0); 鲜花(1); good(2); 赞(3)
14276,768,49,26.92,0.2096,0.110677,0.013021,0.011719,0.002604,0.0,0.002604,通胀(0); 温和(1); 摊手(2); 还(3); 泡沫(4)
41066,315,19,32.68,0.0476,0.0,0.11746,0.0,0.0,0.0,0.0,经济(0); 高质量(1); 民营(2); 推动(3); 用户(4); 3166197709(5); 多措(6); 并举(7); 推进(8)
14528,77,29,4.66,0.2208,0.0,0.0,0.0,0.038961,0.0,0.038961,赞(0); 9(1); 月(2); 1(3); 日新规(4); 上线(5); 关注(6); 一下(7); 新规(8); 保障(9)
13858,163,29,10.76,0.1227,0.0,0.0,0.0,0.006135,0.0,0.006135,超话(0); 咖啡(1); 下午(2); 黄弋(3); 石弋(4); 石戈(5); 诗人(6)
13162,8913,1536,9.52,0.0466,0.009537,0.002468,0.005385,0.004039,0.000112,0.003927,添加(0); 已(1); 客服(2); 云(3); 蚂蚁(4); 专属(5); 兼职(6); 招募(7); 居家(8)
42054,344,26,24.88,0.2994,0.05814,0.005814,0.002907,0.0,0.0,0.0,学子(0); 实践(1); 中国式(2); 现代化(3); 深入基层(4); 青春(5); 暑期(6); 西安(7); 财经大学(8); 专题(9); 挺膺(10); 担当(11); 三下乡(12)
11946,40,10,7.9,0.6,0.05,0.0,0.025,0.0,0.0,0.0,用户(0); 7913733469(1); 大多数(2); 得到(3); 自由(4); 回到(5); 农村(6); 老家(7); 躺(8)
15023,118,47,4.28,0.1525,0.0,0.0,0.0,0.008475,0.0,0.008475,good(0); 心(1); 苦涩(2); 赞(3); 泪(4); 打(5); call(6); 吃惊(7); Repost(8); 期待(9); 馋嘴(10); 鼓掌(11); 哇(12); 鲜花(13)
13732,6459,279,38.63,0.0759,0.091345,0.021056,0.046602,0.002632,0.000464,0.002168,代码(0); 写(1); LLM(2); agentzh(3); 程序(4)
14507,71,24,5.0,0.2676,0.0,0.0,0.014085,0.0,0.0,0.0,9(0); 月(1); 1(2); 日新规(3); 上线(4); 喵(5); 看看(6); 电动车(7); 跟(8); 有关(9); 心(10)
14713,257,30,13.7,0.2646,0.038911,0.015564,0.031128,0.027237,0.0,0.027237,创业(0); 真的(1); 郑州(2); 航空港(3); 区(4); 青年(5); 人才(6)
14297,261,38,14.34,0.2644,0.030651,0.034483,0.034483,0.003831,0.0,0.003831,_(0); 我们(1); DNS(2); PROBE(3); FINISHED(4); NXDOMAIN(5); 国会议员(6); 相当于(7); 全国(8); 人大代表(9); 安尔朵(10); 民众(11)
14214,66,22,5.64,0.3788,0.030303,0.0,0.030303,0.0,0.0,0.0,别人(0); 生活(1); 尊重(2); 个人(3); 选择(4); 干涉(5); 方式(6); 适度(7); 叮嘱(8); 多想(9); 倾听(10); 分享(11)
15136,417,31,20.87,0.2206,0.040767,0.0,0.002398,0.0,0.007194,-0.007194,谁(0); 小(1); 大(2); 无敌(3); 动动(4); 三号(5); 机(6); 人家(7)
14740,181,34,9.41,0.3481,0.077348,0.022099,0.022099,0.005525,0.0,0.005525,我们(0); 工业(1); 人形(2); 很大(3); 区别(4); 先转(5); 后(6)
14288,304,87,6.28,0.2664,0.039474,0.003289,0.003289,0.003289,0.0,0.003289,投资(0); 火星(1); 地球(2); 笔记(3); 围观(4)
14875,96,48,4.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,
14235,838,69,20.01,0.3329,0.077566,0.015513,0.011933,0.005967,0.001193,0.004773,欧洲(0); 就是(1); 掠夺(2); 建立(3); 西方(4)
14307,96,38,4.55,0.1458,0.0,0.0,0.0,0.0,0.0,0.0,偷笑(0); doge(1); 二哈(2); 鼓掌(3); 打(4); call(5); 作揖(6); 微笑(7); 挖(8); 鼻(9)
14708,27,12,4.33,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,优化(0); 营商(1); 环境(2)
15069,29,15,4.13,0.1724,0.0,0.0,0.0,0.0,0.0,0.0,Repost(0); 恒生(1); 互联(2)
14355,5106,256,35.16,0.0689,0.04857,0.006071,0.032315,0.002742,0.0,0.002742,有奶(0); 便娘(1); 阿伯特(2); people(3); 贴(4)
13853,694,118,10.12,0.3386,0.018732,0.020173,0.034582,0.001441,0.0,0.001441,日本(0); 我们(1); 不是(2); 不放过(3)
14542,1356,237,9.04,0.236,0.058997,0.013274,0.000737,0.036136,0.00295,0.033186,快乐(0); 幸福(1); 成功(2); 奉献(3); 心灵(4); 掌宝(5); 小(6); 黄人(7); 挑战(8); 喜悦(9); 追求(10); 时刻(11); 平安(12)
15013,816,35,39.54,0.1213,0.074755,0.017157,0.01348,0.0,0.0,0.0,美国(0); 制造业(1); 关税(2); 时候(3); 真人(4); 一下(5); 拜登(6); 后(7); 两年(8); 开始(9)
14750,9878,501,31.22,0.1121,0.039887,0.007896,0.051832,0.002126,0.002531,-0.000405,孩子(0); 不要(1); 建议(2); 出来(3); 精神病人(4); 供(5); 生(6); 折磨(7); 胖(8); 虎鲸(9); 惊人(10)
14652,49,15,6.2,0.449,0.081633,0.061224,0.020408,0.0,0.0,0.0,充分(0); 必须(1); 特斯拉(2); 科幻(3); 愿景(4); 就是(5); 生产力(6); 后(7); 富裕(8); 休闲(9); 按需分配(10); 理想(11)
44754,5654,1020,9.18,0.3069,0.027768,0.002476,0.027414,0.011673,0.000531,0.011143,_(0); 风(1); 抽(2); 辰星(3); 幻(4)
14179,3782,118,51.35,0.0452,0.093337,0.000529,0.068747,0.000529,0.0,0.000529,作品(0); 孩子(1); 伦理(2); 一码(3); 不是(4); 脐带(5)
13990,3159,280,18.85,0.2441,0.057613,0.010446,0.021526,0.006964,0.000317,0.006648,松下(0); 电视机(1); 电视(2); 日本(3)
14866,658,95,11.37,0.3024,0.030395,0.004559,0.00152,0.033435,0.00304,0.030395,智慧(0); 乡村(1); 农业(2); 济南(3); 农田(4); 科技(5); 振兴(6); 加速(7); 科创(8); 真(9); 太(10); 美好(11)
14423,117,40,5.38,0.2564,0.008547,0.0,0.0,0.008547,0.0,0.008547,good(0); 嘻嘻(1); 打(2); call(3); 年轻人(4); 大陆(5); 送(6); 花花(7); 允悲(8); 欢迎(9); 越来越(10); 多(11)
27630,74216,3401,29.13,0.0065,0.002385,9.4e-05,0.001859,0.037027,0.0,0.037027,心(0); 鲜花(1); 微风(2); 赞(3); 给力(4); 礼物(5); 咖啡(6); 握手(7); 好友(8); 仁义(9)
15070,1247,105,17.38,0.2526,0.049719,0.004812,0.019246,0.020048,0.001604,0.018444,热演(0); 楼梦女(1)
13540,429,95,7.64,0.2075,0.027972,0.0,0.004662,0.002331,0.004662,-0.002331,蚁(0); 工厂(1); GPT(2); 写(3); 自(4); 媒体(5); 运营(6); 方案(7); 量子(8); 位(9)
14764,178,58,4.31,0.1517,0.0,0.0,0.0,0.039326,0.005618,0.033708,心(0); 关注(1); 微风(2); 赞(3); doge(4); 嗯(5); 春游(6); 家族(7); 卡皮(8); 巴拉(9); 鲜花(10); 通知(11); 打(12)
20897,70,21,5.9,0.1143,0.057143,0.0,0.0,0.0,0.0,0.0,邵宛誉(0); 视窗(1)
14827,128,27,8.52,0.4922,0.0625,0.03125,0.007812,0.0,0.0,0.0,天坑(0); 医生(1); 高分(2); 高薪(3); 高(4); 地位(5); 才能(6); 吸引(7); 优秀人才(8); 进入(9); 其他(10)
14484,752,136,9.97,0.2779,0.046543,0.054521,0.009309,0.007979,0.005319,0.00266,政策(0); 贷款(1); 更(2); 消费(3); 财政(4); 贴息(5); 实施(6); 个人消费(7); 减轻(8); 经济(9); 省钱(10); 促进(11); 开学(12)
44734,33,17,4.12,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,Repost(0)
14917,20,10,3.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,分享(0); 阅读(1); 关注(2)
13605,1451,209,11.92,0.2729,0.077188,0.00827,0.015851,0.017919,0.000689,0.017229,挖(0); 地瓜(1); 超级(2); 鹿鼎公(3); 哈哈(4); 就是(5)
15092,2428,41,85.07,0.0684,0.044481,0.018534,0.022652,0.015651,0.0,0.015651,多(0); 画画(1); 赚钱(2); 写文(3); 靠(4); 或者(5)
13010,8529,701,21.52,0.1175,0.046899,0.005628,0.014656,0.003869,0.000821,0.003048,227(0); 主持人(1); 肖战告(2); 胜诉(3); 超话(4); 王一博(5)
14613,52,14,6.64,0.6538,0.057692,0.019231,0.076923,0.0,0.0,0.0,怼(0); 得(1); 妙(2); 笑哈哈(3); 小鬼子(4); 恶搞(5); 我们(6); 以前(7); 那些(8); 历史(9); 人物(10)
14161,956,83,18.67,0.2615,0.074268,0.002092,0.016736,0.003138,0.0,0.003138,后(0); 演员(1); 元(2); 以后(3)
14112,428,214,4.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,
8124,12575,139,151.86,0.0274,0.005805,0.004215,0.0,0.001272,0.0,0.001272,超话(0); 劳动者(1); 权益(2); 陕西(3); 举报(4); 保护(5); 热门(6); 女性(7); 新浪(8); 调查(9); 记者(10); 热点(11); 实名(12); 集团(13)
11600,335,94,6.1,0.397,0.032836,0.0,0.008955,0.002985,0.0,0.002985,学费(0); 开始(1)
14451,6278,183,54.48,0.0274,0.048104,0.021185,0.025167,0.000159,0.0,0.000159,期待(0); 总会(1); 手机(2); 重要(3); 学(4); 宋亚轩(5)
29513,997,24,64.54,0.1204,0.098295,0.0,0.065196,0.0,0.0,0.0,泪(0); 故事(1)
39672,41028,2648,25.92,0.0173,0.101004,0.016891,0.017281,0.016184,0.000512,0.015672,一帧(0); 成功(1); 变现(2)
15025,231,28,13.71,0.4589,0.025974,0.008658,0.025974,0.0,0.0,0.0,秒(0); 韩国(1); 机(2); 吉斯(3); 卡(4); 印度(5); 5(6)
14146,9802,362,46.99,0.0332,0.154866,0.0606,0.021934,0.005407,0.0,0.005407,产品(0); 不是(1); 团队(2); 组织(3); 极度(4)
13949,168,67,4.33,0.1369,0.0,0.0,0.005952,0.005952,0.0,0.005952,good(0); 鲜花(1); 嘻嘻(2); 心(3); 抱抱(4); 委屈(5); 赞(6); 给力(7); 月亮(8); 哇(9); 泪(10); 微风(11)
13811,7921,519,25.96,0.0846,0.09014,0.007449,0.039894,0.008332,0.000252,0.00808,现在(0); 就是(1); 写(2); 代码(3)
42194,54,22,4.64,0.3148,0.037037,0.0,0.0,0.0,0.0,0.0,全是(0); 一些(1); 大(2); 实话(3); 却(4); 现实(5); 美国(6); 经济(7); 数据(8); 很难(9); 信心(10); 看吧(11)
14644,91,20,7.65,0.5275,0.043956,0.010989,0.021978,0.010989,0.0,0.010989,笑(0); cry(1); 英文(2); 会议(3); 这篇(4); 能发(5); 一下(6); 中国(7); 风格(8)
14247,11180,1311,12.82,0.0635,0.076655,0.012433,0.001878,0.031127,0.001699,0.029428,幸福(0); 希望(1); 梦想(2); 智慧(3); 成功(4); 微笑(5); 快乐(6); 勇气(7); 小(8); 挑战(9); 哆(10); 啦(11); A(12)
37149,163,16,17.75,0.3006,0.079755,0.02454,0.0,0.006135,0.0,0.006135,教育(0); 变革(1); 华图(2); 如何(3); 助力(4); 接受(5)
15156,28,13,4.31,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,美国(0); 弃股(1); 保债(2); 美股(3); 末日(4); 狂奔(5)
